Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3PpxVjPUBNzCIvmE74mrYB,السر,السر,Muhabspam;Mond,2024-08-13,272509,1,false,,2025-10-12T01:12:48Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Molla Music Group,0.644,0.383,3,-11.722,0,0.0587,0.334,0,0.134,0.352,83.918,4
spotify:track:4hV9IV7yL2POj8XfVdqclE,Aadi,Aadi,Al Nather;Shabjdeed,2018-08-11,221857,52,true,,2025-10-12T01:12:43Z,"arabic hip hop,egyptian hip hop",BLTNM,0.812,0.485,8,-10.676,1,0.0571,0.375,0.000978,0.131,0.309,132.067,4
spotify:track:3PM8bsIAddafAGl8FZ2Wg9,Ya Salam - El Waili Remix,Ya Salam (El Waili Remix),El Waili;Marwan Moussa,2022-02-20,253908,37,false,,2025-10-12T01:12:40Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",WRST Distribution,0.535,0.409,8,-9.796,1,0.275,0.729,0,0.109,0.566,174.224,4
spotify:track:2Biyy9gUQu9K5MU9u9om7u,Rez2Y,Origins: قبل انتفاضة,Mond,2023-03-20,178611,0,false,,2025-10-12T01:12:35Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Muhab,0.523,0.237,8,-15.461,1,0.0412,0.746,0,0.132,0.478,171.887,4
spotify:track:48KC16B0dDdO53p6PIWUFz,Wish,Wish,Mandou;Marwan Pablo,2019-05-13,188343,0,true,,2025-10-12T01:11:58Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Mandou,0.78,0.416,9,-9.867,0,0.0505,0.432,0.0000022,0.104,0.13,119.993,4
spotify:track:4DMwj1KxbamK09yfRDXCOo,LEMAZA,EN7RAF,Marwan Pablo,2025-04-03,126614,47,false,,2025-10-12T01:11:49Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Quality Clique,0.535,0.491,4,-9.824,1,0.0299,0.000117,0,0.372,0.125,126.942,4
spotify:track:2v18XFwRjshiH0iugxq6wx,ATTA3,MAGNÜN,Lella Fadda;Abyusif,2025-01-24,149000,46,false,,2025-10-12T01:11:46Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Abu Recordings,0.801,0.66,5,-7.381,1,0.0634,0.124,0.0000474,0.271,0.841,111.045,4
spotify:track:0w3CE6Zu4zqkMpZLekSzLs,AL ARBA3,AL ARBA3,Marwan Pablo,2024-06-19,200772,46,false,,2025-10-12T01:11:38Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Quality Clique,0.608,0.614,8,-7.988,1,0.296,0.715,0.0000205,0.0898,0.438,170.027,4
spotify:track:40DTsnSshEZcI1haPqGo83,Restart,Restart,Intomymind;DizzyTooSkinny;Big Moe,2022-08-01,136006,12,false,,2025-10-12T01:11:35Z,"egyptian hip hop,arabic hip hop,egyptian pop",Intomymind,0.594,0.592,11,-8.397,0,0.298,0.196,0,0.111,0.737,144.666,4
spotify:track:5uwxUgvc7YMESf745i8wyx,BONO,EN7RAF,Marwan Pablo,2025-04-03,113142,55,false,,2025-10-12T01:11:33Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Quality Clique,0.681,0.665,1,-6.482,0,0.0355,0.0195,0.000156,0.0828,0.156,140.067,4
spotify:track:1wXHWJcCuFMZv9NT6raayk,Jaw Ard,Jaw Ard (Explicit Version),Molotof;Shabjdeed,2023-01-12,232060,48,true,,2025-10-12T01:11:13Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Molowave,0.572,0.555,2,-8.603,0,0.0426,0.597,0.005,0.12,0.127,106.037,4
spotify:track:6zhY6n7mfAnCW5zzmV6EX8,GHANIMA,EN7RAF,Marwan Pablo,2025-04-03,114626,50,true,,2025-10-12T01:10:50Z,"egyptian hip hop,arabic hip hop,egyptian pop,mahraganat",Quality Clique,0.362,0.625,8,-5.572,1,0.0409,0.00123,0.00000244,0.245,0.221,93.014,5
spotify:track:641KAqGlHS7CH0wCrhh0Ir,Stop - Magnolia,Sonseyat,Husayn;FL EX,2022-03-17,161541,47,true,,2025-10-12T01:09:36Z,"egyptian hip hop,arabic hip hop,mahraganat,egyptian pop",Maadi Town Mafia,0.747,0.465,1,-14.081,1,0.355,0.612,0,0.113,0.616,143.068,4
spotify:track:3cG9MrELvmylovHvtVNLkF,Freedom Music: Scene Cypher 3,Freedom Music: Scene Cypher 3,Wingii;FL EX;Husayn;Tommy Gun,2022-12-30,244864,52,true,,2025-10-12T01:07:36Z,"egyptian hip hop,arabic hip hop,mahraganat,egyptian pop",Kord,0.676,0.448,9,-10.781,1,0.431,0.348,0,0.11,0.356,147.993,4
spotify:track:1IiDvZtAgkNHsjgowc42eT,Ansak Wansahom,El Kebir,Wingii;Husayn,2022-03-02,181714,41,false,,2025-10-12T01:07:08Z,"egyptian hip hop,arabic hip hop,mahraganat,egyptian pop",Maadi Town Mafia,0.776,0.364,9,-11.111,0,0.0759,0.659,0.00426,0.113,0.48,129.029,4
